Country,City,City_ID_1996,S_1996_2007,S_2007_2015,S_2015_2020,Boundary
Indonesia,Medan,7,Expanding,Stabilizing,Displacing,
Indonesia,Medan,8,Expanding,Displacing,Shattering,
Indonesia,Medan,11,Displacing,Stabilizing,Displacing,
Indonesia,Medan,14,Expanding,Stabilizing,Expanding,
Indonesia,Medan,16,Expanding,Stabilizing,Displacing,
Indonesia,Medan,20,Expanding,Expanding,Shattering,
Indonesia,Medan,21,Clearing,Clearing,Lost,
Indonesia,Medan,22,Clearing,Stabilizing,Displacing,
Indonesia,Medan,25,Clearing,Stabilizing,Lost,
Indonesia,Medan,26,Clearing,Displacing,Expanding,
Indonesia,Medan,27,Clearing,Stabilizing,Lost,
Indonesia,Medan,28,Shattering,Stabilizing,Expanding,YES
Indonesia,Medan,28,Shattering,Lost,Lost,
Indonesia,Medan,28,Shattering,Lost,Lost,
Indonesia,Medan,28,Shattering,Lost,Lost,
Indonesia,Medan,28,Shattering,Lost,Lost,
Indonesia,Medan,28,Shattering,Lost,Lost,
Indonesia,Medan,28,Clearing,Shattering,Shattering,
Indonesia,Medan,28,Shattering,Clearing,Lost,
Indonesia,Medan,28,Shattering,Shattering,Lost,
Indonesia,Medan,28,Shattering,Stabilizing,Lost,
Indonesia,Medan,28,Shattering,Stabilizing,Lost,
Indonesia,Medan,30,Nibbling,Displacing,Nibbling,
Indonesia,Medan,31,Clearing,Stabilizing,Displacing,
Indonesia,Medan,36,Displacing,Displacing,Lost,
Indonesia,Medan,37,Expanding,Displacing,Expanding,
Indonesia,Medan,38,Displacing,Clearing,Lost,
Indonesia,Medan,39,Expanding,Displacing,Displacing,
Indonesia,Medan,41,Nibbling,Expanding,Shattering,
Indonesia,Medan,41,Shattering,Displacing,Lost,
Indonesia,Medan,43,Shattering,Stabilizing,Expanding,
Indonesia,Medan,43,Shattering,Lost,Lost,
Indonesia,Medan,43,Shattering,Displacing,Lost,
Indonesia,Medan,44,Shattering,Expanding,Expanding,
Indonesia,Medan,44,Shattering,Lost,Lost,
Indonesia,Medan,45,Displacing,Expanding,Lost,
Indonesia,Medan,47,Displacing,Expanding,Displacing,
Indonesia,Medan,51,Shattering,Stabilizing,Displacing,
Indonesia,Medan,51,Shattering,Stabilizing,Lost,
Indonesia,Medan,52,Shattering,Clearing,Expanding,
Indonesia,Medan,56,Expanding,Expanding,Shattering,
Indonesia,Medan,57,Displacing,Stabilizing,Expanding,
Indonesia,Medan,61,Clearing,Expanding,Clearing,
Indonesia,Medan,63,Clearing,Stabilizing,Displacing,
Indonesia,Medan,65,Displacing,Stabilizing,Clearing,
Indonesia,Medan,68,Shattering,Stabilizing,Clearing,
Indonesia,Medan,69,Displacing,Stabilizing,Lost,
Indonesia,Medan,70,Displacing,Stabilizing,Displacing,
Indonesia,Medan,71,Expanding,Shattering,Lost,
Indonesia,Medan,73,Displacing,Stabilizing,Displacing,
Indonesia,Medan,76,Clearing,Stabilizing,Lost,
Indonesia,Medan,77,Expanding,Expanding,Shattering,
Indonesia,Medan,78,Clearing,Nibbling,Displacing,
Indonesia,Medan,79,Clearing,Shattering,Lost,
Indonesia,Medan,81,Displacing,Displacing,Lost,
Indonesia,Medan,83,Expanding,Expanding,Clearing,
Indonesia,Medan,91,Displacing,Displacing,Displacing,
Indonesia,Medan,93,Displacing,Stabilizing,Expanding,
Indonesia,Medan,94,Clearing,Displacing,Clearing,
Indonesia,Medan,95,Clearing,Expanding,Lost,
Indonesia,Medan,97,Nibbling,Nibbling,Shattering,
Indonesia,Medan,99,Expanding,Expanding,Expanding,
Indonesia,Medan,103,Displacing,Stabilizing,Expanding,
Indonesia,Medan,105,Shattering,Lost,Lost,
Indonesia,Medan,105,Nibbling,Expanding,Shattering,
Indonesia,Medan,106,Clearing,Displacing,Lost,
Indonesia,Medan,107,Clearing,Clearing,Expanding,
Indonesia,Medan,109,Displacing,Stabilizing,Expanding,
Indonesia,Medan,110,Clearing,Lost,Lost,
Indonesia,Medan,113,Shattering,Lost,Lost,
Indonesia,Medan,113,Shattering,Lost,Lost,
Indonesia,Medan,114,Displacing,Stabilizing,Clearing,
Indonesia,Medan,115,Clearing,Expanding,Expanding,
Indonesia,Medan,115,Shattering,Lost,Lost,
Indonesia,Medan,118,Displacing,Stabilizing,Expanding,
Indonesia,Medan,119,Displacing,Stabilizing,Displacing,
Indonesia,Medan,120,Shattering,Clearing,Clearing,
Indonesia,Medan,122,Shattering,Expanding,Clearing,
Indonesia,Medan,123,Displacing,Expanding,Nibbling,
Indonesia,Medan,125,Clearing,Expanding,Displacing,
Indonesia,Medan,129,Nibbling,Displacing,Shattering,
Indonesia,Medan,131,Clearing,Stabilizing,Lost,
Indonesia,Medan,132,Clearing,Stabilizing,Displacing,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Lost,Lost,
Indonesia,Medan,135,Shattering,Displacing,Shattering,
Indonesia,Medan,135,Clearing,Shattering,Shattering,
Indonesia,Medan,135,Shattering,Expanding,Lost,
Indonesia,Medan,136,Clearing,Expanding,Expanding,
Indonesia,Medan,137,Expanding,Stabilizing,Clearing,
Indonesia,Medan,138,Shattering,Lost,Lost,
Indonesia,Medan,138,Shattering,Expanding,Shattering,
Indonesia,Medan,139,Clearing,Expanding,Expanding,
Indonesia,Medan,140,Nibbling,Displacing,Displacing,
Indonesia,Medan,140,Shattering,Lost,Lost,
Indonesia,Medan,141,Clearing,Expanding,Lost,
Indonesia,Medan,142,Nibbling,Expanding,Shattering,
Indonesia,Medan,143,Shattering,Expanding,Nibbling,
Indonesia,Medan,143,Shattering,Expanding,Lost,
Indonesia,Medan,145,Displacing,Stabilizing,Lost,
Indonesia,Medan,149,Displacing,Clearing,Lost,
Indonesia,Medan,150,Clearing,Expanding,Lost,
Indonesia,Medan,151,Expanding,Clearing,Lost,
Indonesia,Medan,152,Displacing,Stabilizing,Lost,
Indonesia,Medan,154,Shattering,Expanding,Clearing,
Indonesia,Medan,154,Shattering,Lost,Lost,
Indonesia,Medan,158,Displacing,Clearing,Clearing,
Indonesia,Medan,159,Displacing,Expanding,Shattering,
Indonesia,Medan,160,Displacing,Shattering,Lost,
Indonesia,Medan,161,Displacing,Expanding,Displacing,
Indonesia,Medan,162,Expanding,Displacing,Displacing,
Indonesia,Medan,164,Clearing,Stabilizing,Displacing,
Indonesia,Medan,167,Clearing,Expanding,Clearing,
Indonesia,Medan,168,Shattering,Lost,Lost,
Indonesia,Medan,168,Shattering,Lost,Lost,
Indonesia,Medan,168,Clearing,Expanding,Shattering,
Indonesia,Medan,168,Shattering,Shattering,Lost,
Indonesia,Medan,169,Shattering,Displacing,Lost,
Indonesia,Medan,172,Shattering,Stabilizing,Clearing,
Indonesia,Medan,172,Shattering,Displacing,Expanding,
Indonesia,Medan,175,Displacing,Lost,Lost,
Indonesia,Medan,177,Displacing,Shattering,Lost,
Indonesia,Medan,181,Clearing,Stabilizing,Expanding,
Indonesia,Medan,189,Displacing,Stabilizing,Lost,
Indonesia,Medan,190,Clearing,Clearing,Lost,
Indonesia,Medan,191,Shattering,Nibbling,Shattering,
Indonesia,Medan,191,Shattering,Nibbling,Lost,
Indonesia,Medan,191,Shattering,Shattering,Lost,
Indonesia,Medan,192,Clearing,Shattering,Lost,
Indonesia,Medan,193,Clearing,Shattering,Displacing,
Indonesia,Medan,195,Displacing,Stabilizing,Lost,
Indonesia,Medan,196,Shattering,Expanding,Clearing,
Indonesia,Medan,202,Clearing,Shattering,Lost,
Indonesia,Medan,206,Displacing,Lost,Lost,
Indonesia,Medan,209,Displacing,Lost,Lost,
Indonesia,Medan,211,Shattering,Expanding,Shattering,
Indonesia,Medan,213,Shattering,Nibbling,Clearing,
Indonesia,Medan,213,Shattering,Stabilizing,Clearing,
Indonesia,Medan,213,Shattering,Stabilizing,Displacing,
Indonesia,Medan,213,Shattering,Stabilizing,Expanding,
Indonesia,Medan,213,Shattering,Stabilizing,Expanding,
Indonesia,Medan,213,Shattering,Lost,Lost,
Indonesia,Medan,213,Shattering,Lost,Lost,
Indonesia,Medan,213,Shattering,Lost,Lost,
Indonesia,Medan,213,Shattering,Lost,Lost,
Indonesia,Medan,213,Shattering,Lost,Lost,
Indonesia,Medan,213,Clearing,Clearing,Shattering,
Indonesia,Medan,213,Shattering,Displacing,Shattering,
Indonesia,Medan,213,Shattering,Clearing,Lost,
Indonesia,Medan,213,Shattering,Displacing,Lost,
Indonesia,Medan,213,Shattering,Shattering,Lost,
Indonesia,Medan,213,Shattering,Stabilizing,Lost,
Indonesia,Medan,214,Clearing,Stabilizing,Expanding,
Indonesia,Medan,223,Clearing,Lost,Lost,
Indonesia,Medan,224,Displacing,Clearing,Lost,
Indonesia,Medan,225,Clearing,Stabilizing,Displacing,
Indonesia,Medan,226,Expanding,Shattering,Lost,
Indonesia,Medan,227,Clearing,Lost,Lost,
Indonesia,Medan,229,Displacing,Stabilizing,Lost,
Indonesia,Medan,232,Clearing,Shattering,Lost,
Indonesia,Medan,233,Displacing,Stabilizing,Displacing,
Indonesia,Medan,234,Displacing,Clearing,Lost,
Indonesia,Medan,235,Expanding,Stabilizing,Displacing,
